code	name	badHealthHi	badHealthLo	goodHeathHi	goodHeathLo	ownershipHi	ownershipLo	rentingHi	rentingLo	youngHi	youngLo	oldHi	oldLo	christianHi	christianLo	aethiestHo	aethiestLo	asianHi	asianLo	blackHi	blackLo	whiteHi	whiteLo
synE06000055	Bedford	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000056	Central Bedfordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000057	Northumberland	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	false
synE07000004	Aylesbury Vale	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000005	Chiltern	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000006	South Bucks	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000007	Wycombe	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000008	Cambridge	false	true	true	false	false	false	false	false	false	true	false	true	false	true	true	false	false	false	false	false	false	false
synE07000009	East Cambridgeshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000010	Fenland	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000011	Huntingdonshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000012	South Cambridgeshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000026	Allerdale	true	false	false	true	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	true	true	false
synE07000027	Barrow-in-Furness	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false
synE07000028	Carlisle	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000029	Copeland	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false
synE07000030	Eden	true	false	false	true	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false
synE07000031	South Lakeland	true	false	false	true	true	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000032	Amber Valley	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false
synE07000033	Bolsover	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000034	Chesterfield	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000035	Derbyshire Dales	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000036	Erewash	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000037	High Peak	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false
synE07000038	North East Derbyshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false
synE07000039	South Derbyshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000040	East Devon	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000041	Exeter	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000042	Mid Devon	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	true	false
synE07000043	North Devon	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	true	false
synE07000044	South Hams	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000045	Teignbridge	false	false	false	false	true	false	false	true	false	false	true	false	false	false	false	false	false	true	false	true	true	false
synE07000046	Torridge	false	false	false	false	true	false	false	true	false	false	true	false	false	false	false	false	false	true	false	true	true	false
synE07000047	West Devon	false	false	false	false	true	false	false	true	false	false	true	false	false	false	false	false	false	true	false	false	true	false
synE07000048	Christchurch	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000049	East Dorset	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000050	North Dorset	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false
synE07000051	Purbeck	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000052	West Dorset	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000053	Weymouth and Portland	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000061	Eastbourne	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false
synE07000062	Hastings	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000063	Lewes	false	false	false	false	false	false	false	false	false	false	true	false	false	false	true	false	false	false	false	false	false	false
synE07000064	Rother	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000065	Wealden	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false
synE07000066	Basildon	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000067	Braintree	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000068	Brentwood	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000069	Castle Point	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false
synE07000070	Chelmsford	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000071	Colchester	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000072	Epping Forest	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000073	Harlow	false	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000074	Maldon	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000075	Rochford	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000076	Tendring	false	false	false	false	true	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000077	Uttlesford	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000078	Cheltenham	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000079	Cotswold	false	false	false	false	true	false	false	true	false	false	true	false	false	false	false	false	false	true	false	false	false	false
synE07000080	Forest of Dean	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	true	false
synE07000081	Gloucester	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000082	Stroud	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	true	false
synE07000083	Tewkesbury	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000084	Basingstoke and Deane	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000085	East Hampshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000086	Eastleigh	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000087	Fareham	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000088	Gosport	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000089	Hart	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000090	Havant	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000091	New Forest	false	false	false	false	true	false	false	true	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000092	Rushmoor	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000093	Test Valley	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000094	Winchester	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000095	Broxbourne	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000096	Dacorum	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000098	Hertsmere	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false
synE07000099	North Hertfordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000102	Three Rivers	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000103	Watford	false	true	true	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false	false
synE07000105	Ashford	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false
